計費帳戶識別碼 (BillingAccountId),計費帳戶名稱 (BillingAccountName),計費期間開始日期 (BillingPeriodStartDate),計費期間結束日期 (BillingPeriodEndDate),計費期間設定檔識別碼 (BillingProfileId),計費期間設定檔名稱 (BillingProfileName),帳戶擁有者識別碼 (AccountOwnerId),帳戶名稱 (AccountName),SubscriptionId (SubscriptionId),訂用帳戶名稱 (SubscriptionName),日期 (Date),產品 (Product),PartNumber,計量識別碼 (MeterId),服務家族 (ServiceFamily),計量類別目錄 (MeterCategory),MeterSubcategory (MeterSubcategory),計量地區 (MeterRegion),計量名稱 (MeterName),數量 (Quantity),有效價格 (EffectivePrice),成本 (Cost),UnitPrice (UnitPrice),計費貨幣 (BillingCurrency),資源位置 (ResourceLocation),可用性區域 (AvailabilityZone),已使用的服務 (ConsumedService),ResourceId (ResourceId),資源名稱 (ResourceName),服務資訊 1 (ServiceInfo1),服務資訊 2 (ServiceInfo2),其他資訊 (AdditionalInfo),標記 (Tags),InvoiceSectionId (InvoiceSectionId),發票區段 (InvoiceSection),成本中心 (CostCenter),測量單位 (UnitOfMeasure),ResourceGroup (ResourceGroup),保留識別碼 (ReservationId),保留名稱 (ReservationName),產品訂單識別碼 (ProductOrderId),產品訂單名稱 (ProductOrderName),OfferId (OfferId),是符合 Azure 點數資格 (IsAzureCreditEligible),字詞 (Term),PublisherName,PlanName,ChargeType (ChargeType),頻率 (Frequency),發行者類型 (PublisherType),pricingModel (PricingModel),PayGPrice (PayGPrice),InvoiceID (InvoiceID)
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-09-26,,,0f98e708-a16c-407b-8089-a0ed9e14ab49,,Cognitive Services,Speech,,S1 Neural Text To Speech Characters,0.014968,484.91178335633555,7.258159573277631,,TWD,AP East,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Speech_Data/providers/Microsoft.CognitiveServices/accounts/TTSpeech,TTSpeech,,,,,,,,1000000,Speech_Data,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-09-24,,,7694ba57-ed75-4dea-8dac-550275b82b30,,Cognitive Services,Custom Vision,,Free Transactions,0.005,0,0,,TWD,AP Southeast,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Custom_Vision_Data/providers/Microsoft.CognitiveServices/accounts/CVDToUnity-Prediction,CVDToUnity-Prediction,,,,"{""project"":""cv_unity""}",,,,1000,Custom_Vision_Data,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-09-25,,,3bd267f0-01d5-4348-ba67-70e2473f0c27,,Cognitive Services,Speech,,S1 Speech To Text,1.426666666666666,32.040472175379435,45.71107363687465,,TWD,AP East,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Speech_Data/providers/Microsoft.CognitiveServices/accounts/TTSpeech,TTSpeech,,,,,,,,1 Hour,Speech_Data,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-09-26,,,3bd267f0-01d5-4348-ba67-70e2473f0c27,,Cognitive Services,Speech,,S1 Speech To Text,1.394166666666666,32.040472175379435,44.66975829117482,,TWD,AP East,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Speech_Data/providers/Microsoft.CognitiveServices/accounts/TTSpeech,TTSpeech,,,,,,,,1 Hour,Speech_Data,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-10-07,,,eeae7956-227a-5283-b135-a3e9c6a491c6,,Cognitive Services,Azure OpenAI,JA East,gpt-4-turbo128K Inp-glbl Tokens,0.373,0.32096426390118,0.11971967043514,,TWD,JA East,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Azure_LLM/providers/Microsoft.CognitiveServices/accounts/UnityLLM,UnityLLM,,,,"{""deployment"":""gpt-4"",""project"":""llm_unity""}",,,,1000000,Azure_LLM,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-09-24,,,eeae7956-227a-5283-b135-a3e9c6a491c6,,Cognitive Services,Azure OpenAI,JA East,gpt-4-turbo128K Inp-glbl Tokens,1.686,0.32096426390118,0.54114574893739,,TWD,JA East,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Azure_LLM/providers/Microsoft.CognitiveServices/accounts/UnityLLM,UnityLLM,,,,"{""deployment"":""gpt-4"",""project"":""llm_unity""}",,,,1000000,Azure_LLM,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-09-25,,,73083eeb-fda1-57b2-a42f-4a84e0090dbb,,Cognitive Services,Azure OpenAI,JA East,gpt-4-turbo128K Outp-glbl Tokens,5.507,0.966623073861375,5.323193267754591,,TWD,JA East,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Azure_LLM/providers/Microsoft.CognitiveServices/accounts/UnityLLM,UnityLLM,,,,"{""deployment"":""gpt-4"",""project"":""llm_unity""}",,,,1000000,Azure_LLM,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-09-24,,,0f98e708-a16c-407b-8089-a0ed9e14ab49,,Cognitive Services,Speech,,S1 Neural Text To Speech Characters,0.003445,484.91178335633555,1.670521093662576,,TWD,AP East,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Speech_Data/providers/Microsoft.CognitiveServices/accounts/TTSpeech,TTSpeech,,,,,,,,1000000,Speech_Data,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-09-25,,,7694ba57-ed75-4dea-8dac-550275b82b30,,Cognitive Services,Custom Vision,,Free Transactions,0.002,0,0,,TWD,AP Southeast,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Custom_Vision_Data/providers/Microsoft.CognitiveServices/accounts/CVDToUnity-Prediction,CVDToUnity-Prediction,,,,"{""project"":""cv_unity""}",,,,1000,Custom_Vision_Data,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-09-26,,,7694ba57-ed75-4dea-8dac-550275b82b30,,Cognitive Services,Custom Vision,,Free Transactions,0.014,0,0,,TWD,AP Southeast,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Custom_Vision_Data/providers/Microsoft.CognitiveServices/accounts/CVDToUnity-Prediction,CVDToUnity-Prediction,,,,"{""project"":""cv_unity""}",,,,1000,Custom_Vision_Data,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-10-03,,,3bd267f0-01d5-4348-ba67-70e2473f0c27,,Cognitive Services,Speech,,S1 Speech To Text,0.0025,32.040472175379435,0.080101180438449,,TWD,AP East,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Speech_Data/providers/Microsoft.CognitiveServices/accounts/TTSpeech,TTSpeech,,,,,,,,1 Hour,Speech_Data,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-09-09,,,3bd267f0-01d5-4348-ba67-70e2473f0c27,,Cognitive Services,Speech,,S1 Speech To Text,0.001111111111111,32.040472175379435,0.03560052463931,,TWD,AP East,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Speech_Data/providers/Microsoft.CognitiveServices/accounts/TTSpeech,TTSpeech,,,,,,,,1 Hour,Speech_Data,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
,,2025-09-09,2025-10-08,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba,,,,888baa30-ed0d-40d5-aabf-cec83dc3bfba,,2025-09-09,,,73083eeb-fda1-57b2-a42f-4a84e0090dbb,,Cognitive Services,Azure OpenAI,JA East,gpt-4-turbo128K Outp-glbl Tokens,0.025,0.966623073861375,0.024165576846534,,TWD,JA East,,Microsoft.CognitiveServices,/subscriptions/888baa30-ed0d-40d5-aabf-cec83dc3bfba/resourceGroups/Azure_LLM/providers/Microsoft.CognitiveServices/accounts/UnityLLM,UnityLLM,,,,"{""deployment"":""gpt-4"",""project"":""llm_unity""}",,,,1000000,Azure_LLM,,,,,MS-AZR-0025P,,,,,Usage,UsageBased,Azure,OnDemand,,E0800XOSBR
